username,cursornum,primary_id,cursor_id,x,y,rotated_angle,time
ogapy,20,19,10,3.41089,4.670948,5.497787,0.2075615
ogapy,20,0,13,-2.191498,-2.306606,0,0.2115822
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.2115822
ogapy,20,2,11,0.407464,2.078474,1.047198,0.2115822
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.2115822
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.2115822
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.2115822
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.2115822
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.2115822
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.2115822
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.2115822
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.2115822
ogapy,20,11,17,3.663383,4.724838,3.403392,0.2115822
ogapy,20,12,9,2.428937,4.313823,3.665191,0.2115822
ogapy,20,13,8,4.511765,2.011955,3.926991,0.2115822
ogapy,20,14,2,1.846969,0.354013,4.18879,0.2115822
ogapy,20,15,18,1.414508,3.567561,4.45059,0.2115822
ogapy,20,16,14,2.566698,2.420447,4.712389,0.2115822
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.2115822
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.2115822
ogapy,20,19,10,3.41089,4.670948,5.497787,0.2115822
ogapy,20,0,13,-2.191498,-2.306606,0,0.215704
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.215704
ogapy,20,2,11,0.407464,2.078474,1.047198,0.215704
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.215704
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.215704
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.215704
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.215704
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.215704
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.215704
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.215704
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.215704
ogapy,20,11,17,3.663383,4.724838,3.403392,0.215704
ogapy,20,12,9,2.428937,4.313823,3.665191,0.215704
ogapy,20,13,8,4.511765,2.011955,3.926991,0.215704
ogapy,20,14,2,1.846969,0.354013,4.18879,0.215704
ogapy,20,15,18,1.414508,3.567561,4.45059,0.215704
ogapy,20,16,14,2.566698,2.420447,4.712389,0.215704
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.215704
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.215704
ogapy,20,19,10,3.41089,4.670948,5.497787,0.215704
ogapy,20,0,13,-2.191498,-2.306606,0,0.2196922
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.2196922
ogapy,20,2,11,0.407464,2.078474,1.047198,0.2196922
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.2196922
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.2196922
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.2196922
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.2196922
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.2196922
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.2196922
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.2196922
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.2196922
ogapy,20,11,17,3.663383,4.724838,3.403392,0.2196922
ogapy,20,12,9,2.428937,4.313823,3.665191,0.2196922
ogapy,20,13,8,4.511765,2.011955,3.926991,0.2196922
ogapy,20,14,2,1.846969,0.354013,4.18879,0.2196922
ogapy,20,15,18,1.414508,3.567561,4.45059,0.2196922
ogapy,20,16,14,2.566698,2.420447,4.712389,0.2196922
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.2196922
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.2196922
ogapy,20,19,10,3.41089,4.670948,5.497787,0.2196922
ogapy,20,0,13,-2.191498,-2.306606,0,0.223608
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.223608
ogapy,20,2,11,0.407464,2.078474,1.047198,0.223608
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.223608
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.223608
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.223608
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.223608
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.223608
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.223608
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.223608
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.223608
ogapy,20,11,17,3.663383,4.724838,3.403392,0.223608
ogapy,20,12,9,2.428937,4.313823,3.665191,0.223608
ogapy,20,13,8,4.511765,2.011955,3.926991,0.223608
ogapy,20,14,2,1.846969,0.354013,4.18879,0.223608
ogapy,20,15,18,1.414508,3.567561,4.45059,0.223608
ogapy,20,16,14,2.566698,2.420447,4.712389,0.223608
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.223608
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.223608
ogapy,20,19,10,3.41089,4.670948,5.497787,0.223608
ogapy,20,0,13,-2.191498,-2.306606,0,0.2275047
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.2275047
ogapy,20,2,11,0.407464,2.078474,1.047198,0.2275047
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.2275047
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.2275047
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.2275047
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.2275047
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.2275047
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.2275047
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.2275047
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.2275047
ogapy,20,11,17,3.663383,4.724838,3.403392,0.2275047
ogapy,20,12,9,2.428937,4.313823,3.665191,0.2275047
ogapy,20,13,8,4.511765,2.011955,3.926991,0.2275047
ogapy,20,14,2,1.846969,0.354013,4.18879,0.2275047
ogapy,20,15,18,1.414508,3.567561,4.45059,0.2275047
ogapy,20,16,14,2.566698,2.420447,4.712389,0.2275047
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.2275047
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.2275047
ogapy,20,19,10,3.41089,4.670948,5.497787,0.2275047
ogapy,20,0,13,-2.191498,-2.306606,0,0.2315903
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.2315903
ogapy,20,2,11,0.407464,2.078474,1.047198,0.2315903
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.2315903
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.2315903
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.2315903
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.2315903
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.2315903
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.2315903
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.2315903
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.2315903
ogapy,20,11,17,3.663383,4.724838,3.403392,0.2315903
ogapy,20,12,9,2.428937,4.313823,3.665191,0.2315903
ogapy,20,13,8,4.511765,2.011955,3.926991,0.2315903
ogapy,20,14,2,1.846969,0.354013,4.18879,0.2315903
ogapy,20,15,18,1.414508,3.567561,4.45059,0.2315903
ogapy,20,16,14,2.566698,2.420447,4.712389,0.2315903
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.2315903
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.2315903
ogapy,20,19,10,3.41089,4.670948,5.497787,0.2315903
ogapy,20,0,13,-2.191498,-2.306606,0,0.2355652
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.2355652
ogapy,20,2,11,0.407464,2.078474,1.047198,0.2355652
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.2355652
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.2355652
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.2355652
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.2355652
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.2355652
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.2355652
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.2355652
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.2355652
ogapy,20,11,17,3.663383,4.724838,3.403392,0.2355652
ogapy,20,12,9,2.428937,4.313823,3.665191,0.2355652
ogapy,20,13,8,4.511765,2.011955,3.926991,0.2355652
ogapy,20,14,2,1.846969,0.354013,4.18879,0.2355652
ogapy,20,15,18,1.414508,3.567561,4.45059,0.2355652
ogapy,20,16,14,2.566698,2.420447,4.712389,0.2355652
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.2355652
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.2355652
ogapy,20,19,10,3.41089,4.670948,5.497787,0.2355652
ogapy,20,0,13,-2.191498,-2.306606,0,0.2395344
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.2395344
ogapy,20,2,11,0.407464,2.078474,1.047198,0.2395344
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.2395344
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.2395344
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.2395344
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.2395344
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.2395344
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.2395344
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.2395344
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.2395344
ogapy,20,11,17,3.663383,4.724838,3.403392,0.2395344
ogapy,20,12,9,2.428937,4.313823,3.665191,0.2395344
ogapy,20,13,8,4.511765,2.011955,3.926991,0.2395344
ogapy,20,14,2,1.846969,0.354013,4.18879,0.2395344
ogapy,20,15,18,1.414508,3.567561,4.45059,0.2395344
ogapy,20,16,14,2.566698,2.420447,4.712389,0.2395344
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.2395344
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.2395344
ogapy,20,19,10,3.41089,4.670948,5.497787,0.2395344
ogapy,20,0,13,-2.191498,-2.306606,0,0.2436123
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.2436123
ogapy,20,2,11,0.407464,2.078474,1.047198,0.2436123
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.2436123
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.2436123
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.2436123
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.2436123
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.2436123
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.2436123
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.2436123
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.2436123
ogapy,20,11,17,3.663383,4.724838,3.403392,0.2436123
ogapy,20,12,9,2.428937,4.313823,3.665191,0.2436123
ogapy,20,13,8,4.511765,2.011955,3.926991,0.2436123
ogapy,20,14,2,1.846969,0.354013,4.18879,0.2436123
ogapy,20,15,18,1.414508,3.567561,4.45059,0.2436123
ogapy,20,16,14,2.566698,2.420447,4.712389,0.2436123
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.2436123
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.2436123
ogapy,20,19,10,3.41089,4.670948,5.497787,0.2436123
ogapy,20,0,13,-2.191498,-2.306606,0,0.2476826
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.2476826
ogapy,20,2,11,0.407464,2.078474,1.047198,0.2476826
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.2476826
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.2476826
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.2476826
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.2476826
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.2476826
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.2476826
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.2476826
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.2476826
ogapy,20,11,17,3.663383,4.724838,3.403392,0.2476826
ogapy,20,12,9,2.428937,4.313823,3.665191,0.2476826
ogapy,20,13,8,4.511765,2.011955,3.926991,0.2476826
ogapy,20,14,2,1.846969,0.354013,4.18879,0.2476826
ogapy,20,15,18,1.414508,3.567561,4.45059,0.2476826
ogapy,20,16,14,2.566698,2.420447,4.712389,0.2476826
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.2476826
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.2476826
ogapy,20,19,10,3.41089,4.670948,5.497787,0.2476826
ogapy,20,0,13,-2.191498,-2.306606,0,0.2516212
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.2516212
ogapy,20,2,11,0.407464,2.078474,1.047198,0.2516212
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.2516212
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.2516212
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.2516212
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.2516212
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.2516212
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.2516212
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.2516212
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.2516212
ogapy,20,11,17,3.663383,4.724838,3.403392,0.2516212
ogapy,20,12,9,2.428937,4.313823,3.665191,0.2516212
ogapy,20,13,8,4.511765,2.011955,3.926991,0.2516212
ogapy,20,14,2,1.846969,0.354013,4.18879,0.2516212
ogapy,20,15,18,1.414508,3.567561,4.45059,0.2516212
ogapy,20,16,14,2.566698,2.420447,4.712389,0.2516212
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.2516212
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.2516212
ogapy,20,19,10,3.41089,4.670948,5.497787,0.2516212
ogapy,20,0,13,-2.191498,-2.306606,0,0.2555866
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.2555866
ogapy,20,2,11,0.407464,2.078474,1.047198,0.2555866
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.2555866
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.2555866
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.2555866
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.2555866
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.2555866
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.2555866
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.2555866
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.2555866
ogapy,20,11,17,3.663383,4.724838,3.403392,0.2555866
ogapy,20,12,9,2.428937,4.313823,3.665191,0.2555866
ogapy,20,13,8,4.511765,2.011955,3.926991,0.2555866
ogapy,20,14,2,1.846969,0.354013,4.18879,0.2555866
ogapy,20,15,18,1.414508,3.567561,4.45059,0.2555866
ogapy,20,16,14,2.566698,2.420447,4.712389,0.2555866
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.2555866
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.2555866
ogapy,20,19,10,3.41089,4.670948,5.497787,0.2555866
ogapy,20,0,13,-2.191498,-2.306606,0,0.259552
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.259552
ogapy,20,2,11,0.407464,2.078474,1.047198,0.259552
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.259552
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.259552
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.259552
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.259552
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.259552
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.259552
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.259552
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.259552
ogapy,20,11,17,3.663383,4.724838,3.403392,0.259552
ogapy,20,12,9,2.428937,4.313823,3.665191,0.259552
ogapy,20,13,8,4.511765,2.011955,3.926991,0.259552
ogapy,20,14,2,1.846969,0.354013,4.18879,0.259552
ogapy,20,15,18,1.414508,3.567561,4.45059,0.259552
ogapy,20,16,14,2.566698,2.420447,4.712389,0.259552
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.259552
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.259552
ogapy,20,19,10,3.41089,4.670948,5.497787,0.259552
ogapy,20,0,13,-2.191498,-2.306606,0,0.2636509
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.2636509
ogapy,20,2,11,0.407464,2.078474,1.047198,0.2636509
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.2636509
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.2636509
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.2636509
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.2636509
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.2636509
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.2636509
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.2636509
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.2636509
ogapy,20,11,17,3.663383,4.724838,3.403392,0.2636509
ogapy,20,12,9,2.428937,4.313823,3.665191,0.2636509
ogapy,20,13,8,4.511765,2.011955,3.926991,0.2636509
ogapy,20,14,2,1.846969,0.354013,4.18879,0.2636509
ogapy,20,15,18,1.414508,3.567561,4.45059,0.2636509
ogapy,20,16,14,2.566698,2.420447,4.712389,0.2636509
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.2636509
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.2636509
ogapy,20,19,10,3.41089,4.670948,5.497787,0.2636509
ogapy,20,0,13,-2.191498,-2.306606,0,0.2676201
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.2676201
ogapy,20,2,11,0.407464,2.078474,1.047198,0.2676201
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.2676201
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.2676201
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.2676201
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.2676201
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.2676201
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.2676201
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.2676201
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.2676201
ogapy,20,11,17,3.663383,4.724838,3.403392,0.2676201
ogapy,20,12,9,2.428937,4.313823,3.665191,0.2676201
ogapy,20,13,8,4.511765,2.011955,3.926991,0.2676201
ogapy,20,14,2,1.846969,0.354013,4.18879,0.2676201
ogapy,20,15,18,1.414508,3.567561,4.45059,0.2676201
ogapy,20,16,14,2.566698,2.420447,4.712389,0.2676201
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.2676201
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.2676201
ogapy,20,19,10,3.41089,4.670948,5.497787,0.2676201
ogapy,20,0,13,-2.191498,-2.306606,0,0.2715816
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.2715816
ogapy,20,2,11,0.407464,2.078474,1.047198,0.2715816
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.2715816
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.2715816
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.2715816
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.2715816
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.2715816
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.2715816
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.2715816
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.2715816
ogapy,20,11,17,3.663383,4.724838,3.403392,0.2715816
ogapy,20,12,9,2.428937,4.313823,3.665191,0.2715816
ogapy,20,13,8,4.511765,2.011955,3.926991,0.2715816
ogapy,20,14,2,1.846969,0.354013,4.18879,0.2715816
ogapy,20,15,18,1.414508,3.567561,4.45059,0.2715816
ogapy,20,16,14,2.566698,2.420447,4.712389,0.2715816
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.2715816
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.2715816
ogapy,20,19,10,3.41089,4.670948,5.497787,0.2715816
ogapy,20,0,13,-2.191498,-2.306606,0,0.2757034
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.2757034
ogapy,20,2,11,0.407464,2.078474,1.047198,0.2757034
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.2757034
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.2757034
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.2757034
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.2757034
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.2757034
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.2757034
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.2757034
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.2757034
ogapy,20,11,17,3.663383,4.724838,3.403392,0.2757034
ogapy,20,12,9,2.428937,4.313823,3.665191,0.2757034
ogapy,20,13,8,4.511765,2.011955,3.926991,0.2757034
ogapy,20,14,2,1.846969,0.354013,4.18879,0.2757034
ogapy,20,15,18,1.414508,3.567561,4.45059,0.2757034
ogapy,20,16,14,2.566698,2.420447,4.712389,0.2757034
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.2757034
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.2757034
ogapy,20,19,10,3.41089,4.670948,5.497787,0.2757034
ogapy,20,0,13,-2.191498,-2.306606,0,0.2794895
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.2794895
ogapy,20,2,11,0.407464,2.078474,1.047198,0.2794895
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.2794895
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.2794895
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.2794895
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.2794895
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.2794895
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.2794895
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.2794895
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.2794895
ogapy,20,11,17,3.663383,4.724838,3.403392,0.2794895
ogapy,20,12,9,2.428937,4.313823,3.665191,0.2794895
ogapy,20,13,8,4.511765,2.011955,3.926991,0.2794895
ogapy,20,14,2,1.846969,0.354013,4.18879,0.2794895
ogapy,20,15,18,1.414508,3.567561,4.45059,0.2794895
ogapy,20,16,14,2.566698,2.420447,4.712389,0.2794895
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.2794895
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.2794895
ogapy,20,19,10,3.41089,4.670948,5.497787,0.2794895
ogapy,20,0,13,-2.191498,-2.306606,0,0.2835636
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.2835636
ogapy,20,2,11,0.407464,2.078474,1.047198,0.2835636
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.2835636
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.2835636
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.2835636
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.2835636
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.2835636
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.2835636
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.2835636
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.2835636
ogapy,20,11,17,3.663383,4.724838,3.403392,0.2835636
ogapy,20,12,9,2.428937,4.313823,3.665191,0.2835636
ogapy,20,13,8,4.511765,2.011955,3.926991,0.2835636
ogapy,20,14,2,1.846969,0.354013,4.18879,0.2835636
ogapy,20,15,18,1.414508,3.567561,4.45059,0.2835636
ogapy,20,16,14,2.566698,2.420447,4.712389,0.2835636
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.2835636
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.2835636
ogapy,20,19,10,3.41089,4.670948,5.497787,0.2835636
ogapy,20,0,13,-2.191498,-2.306606,0,0.2874603
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.2874603
ogapy,20,2,11,0.407464,2.078474,1.047198,0.2874603
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.2874603
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.2874603
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.2874603
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.2874603
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.2874603
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.2874603
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.2874603
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.2874603
ogapy,20,11,17,3.663383,4.724838,3.403392,0.2874603
ogapy,20,12,9,2.428937,4.313823,3.665191,0.2874603
ogapy,20,13,8,4.511765,2.011955,3.926991,0.2874603
ogapy,20,14,2,1.846969,0.354013,4.18879,0.2874603
ogapy,20,15,18,1.414508,3.567561,4.45059,0.2874603
ogapy,20,16,14,2.566698,2.420447,4.712389,0.2874603
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.2874603
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.2874603
ogapy,20,19,10,3.41089,4.670948,5.497787,0.2874603
ogapy,20,0,13,-2.191498,-2.306606,0,0.2912846
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.2912846
ogapy,20,2,11,0.407464,2.078474,1.047198,0.2912846
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.2912846
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.2912846
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.2912846
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.2912846
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.2912846
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.2912846
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.2912846
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.2912846
ogapy,20,11,17,3.663383,4.724838,3.403392,0.2912846
ogapy,20,12,9,2.428937,4.313823,3.665191,0.2912846
ogapy,20,13,8,4.511765,2.011955,3.926991,0.2912846
ogapy,20,14,2,1.846969,0.354013,4.18879,0.2912846
ogapy,20,15,18,1.414508,3.567561,4.45059,0.2912846
ogapy,20,16,14,2.566698,2.420447,4.712389,0.2912846
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.2912846
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.2912846
ogapy,20,19,10,3.41089,4.670948,5.497787,0.2912846
ogapy,20,0,13,-2.191498,-2.306606,0,0.2953415
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.2953415
ogapy,20,2,11,0.407464,2.078474,1.047198,0.2953415
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.2953415
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.2953415
