username,cursornum,primary_id,cursor_id,x,y,rotated_angle,diameter,window_size,delay,speed_rate,time
f,20,6,10,150.7752,337.0541,2.094395,10,810,1000,1,0.1515865
f,20,7,19,231.1179,-167.324,2.356194,10,810,1000,1,0.1515865
f,20,8,4,-230.2323,-322.793,2.617994,10,810,1000,1,0.1515865
f,20,9,5,-62.64343,-316.4559,2.879793,10,810,1000,1,0.1515865
f,20,10,14,-370.7181,27.7019,3.141593,10,810,1000,1,0.1515865
f,20,11,13,-47.7782,250.5165,3.403392,10,810,1000,1,0.1515865
f,20,12,1,-111.482,187.2191,3.665191,10,810,1000,1,0.1515865
f,20,13,7,-138.829,269.5172,3.926991,10,810,1000,1,0.1515865
f,20,14,8,-270.2405,-340.2076,4.18879,10,810,1000,1,0.1515865
f,20,15,17,153.5358,-218.0549,4.45059,10,810,1000,1,0.1515865
f,20,16,15,391.3382,-202.2136,4.712389,10,810,1000,1,0.1515865
f,20,17,11,66.16119,-295.0936,4.974188,10,810,1000,1,0.1515865
f,20,18,3,295.9445,367.5779,5.235988,10,810,1000,1,0.1515865
f,20,19,9,-376.2028,-8.503357,5.497787,10,810,1000,1,0.1515865
f,20,0,12,327.7296,228.5474,0,10,810,1000,1,0.1596317
f,20,1,6,-370.6197,236.4072,0.7853982,10,810,1000,1,0.1596317
f,20,2,18,-261.7094,-139.8962,1.047198,10,810,1000,1,0.1596317
f,20,3,0,-14.16165,-216.786,1.308997,10,810,1000,1,0.1596317
f,20,4,16,363.5884,302.8258,1.570796,10,810,1000,1,0.1596317
f,20,5,2,-253.5109,-24.22354,1.832596,10,810,1000,1,0.1596317
f,20,6,10,150.7752,337.0541,2.094395,10,810,1000,1,0.1596317
f,20,7,19,231.1179,-167.324,2.356194,10,810,1000,1,0.1596317
f,20,8,4,-230.2323,-322.793,2.617994,10,810,1000,1,0.1596317
f,20,9,5,-62.64343,-316.4559,2.879793,10,810,1000,1,0.1596317
f,20,10,14,-370.7181,27.7019,3.141593,10,810,1000,1,0.1596317
f,20,11,13,-47.7782,250.5165,3.403392,10,810,1000,1,0.1596317
f,20,12,1,-111.482,187.2191,3.665191,10,810,1000,1,0.1596317
f,20,13,7,-138.829,269.5172,3.926991,10,810,1000,1,0.1596317
f,20,14,8,-270.2405,-340.2076,4.18879,10,810,1000,1,0.1596317
f,20,15,17,153.5358,-218.0549,4.45059,10,810,1000,1,0.1596317
f,20,16,15,391.3382,-202.2136,4.712389,10,810,1000,1,0.1596317
f,20,17,11,66.16119,-295.0936,4.974188,10,810,1000,1,0.1596317
f,20,18,3,295.9445,367.5779,5.235988,10,810,1000,1,0.1596317
f,20,19,9,-376.2028,-8.503357,5.497787,10,810,1000,1,0.1596317
f,20,0,12,327.7296,228.5474,0,10,810,1000,1,0.1636791
f,20,1,6,-370.6197,236.4072,0.7853982,10,810,1000,1,0.1636791
f,20,2,18,-261.7094,-139.8962,1.047198,10,810,1000,1,0.1636791
f,20,3,0,-14.16165,-216.786,1.308997,10,810,1000,1,0.1636791
f,20,4,16,363.5884,302.8258,1.570796,10,810,1000,1,0.1636791
f,20,5,2,-253.5109,-24.22354,1.832596,10,810,1000,1,0.1636791
f,20,6,10,150.7752,337.0541,2.094395,10,810,1000,1,0.1636791
f,20,7,19,231.1179,-167.324,2.356194,10,810,1000,1,0.1636791
f,20,8,4,-230.2323,-322.793,2.617994,10,810,1000,1,0.1636791
f,20,9,5,-62.64343,-316.4559,2.879793,10,810,1000,1,0.1636791
f,20,10,14,-370.7181,27.7019,3.141593,10,810,1000,1,0.1636791
f,20,11,13,-47.7782,250.5165,3.403392,10,810,1000,1,0.1636791
f,20,12,1,-111.482,187.2191,3.665191,10,810,1000,1,0.1636791
f,20,13,7,-138.829,269.5172,3.926991,10,810,1000,1,0.1636791
f,20,14,8,-270.2405,-340.2076,4.18879,10,810,1000,1,0.1636791
f,20,15,17,153.5358,-218.0549,4.45059,10,810,1000,1,0.1636791
f,20,16,15,391.3382,-202.2136,4.712389,10,810,1000,1,0.1636791
f,20,17,11,66.16119,-295.0936,4.974188,10,810,1000,1,0.1636791
f,20,18,3,295.9445,367.5779,5.235988,10,810,1000,1,0.1636791
f,20,19,9,-376.2028,-8.503357,5.497787,10,810,1000,1,0.1636791
f,20,0,12,327.7296,228.5474,0,10,810,1000,1,0.1718044
f,20,1,6,-370.6197,236.4072,0.7853982,10,810,1000,1,0.1718044
f,20,2,18,-261.7094,-139.8962,1.047198,10,810,1000,1,0.1718044
f,20,3,0,-14.16165,-216.786,1.308997,10,810,1000,1,0.1718044
f,20,4,16,363.5884,302.8258,1.570796,10,810,1000,1,0.1718044
f,20,5,2,-253.5109,-24.22354,1.832596,10,810,1000,1,0.1718044
f,20,6,10,150.7752,337.0541,2.094395,10,810,1000,1,0.1718044
f,20,7,19,231.1179,-167.324,2.356194,10,810,1000,1,0.1718044
f,20,8,4,-230.2323,-322.793,2.617994,10,810,1000,1,0.1718044
f,20,9,5,-62.64343,-316.4559,2.879793,10,810,1000,1,0.1718044
f,20,10,14,-370.7181,27.7019,3.141593,10,810,1000,1,0.1718044
f,20,11,13,-47.7782,250.5165,3.403392,10,810,1000,1,0.1718044
f,20,12,1,-111.482,187.2191,3.665191,10,810,1000,1,0.1718044
f,20,13,7,-138.829,269.5172,3.926991,10,810,1000,1,0.1718044
f,20,14,8,-270.2405,-340.2076,4.18879,10,810,1000,1,0.1718044
f,20,15,17,153.5358,-218.0549,4.45059,10,810,1000,1,0.1718044
f,20,16,15,391.3382,-202.2136,4.712389,10,810,1000,1,0.1718044
f,20,17,11,66.16119,-295.0936,4.974188,10,810,1000,1,0.1718044
f,20,18,3,295.9445,367.5779,5.235988,10,810,1000,1,0.1718044
f,20,19,9,-376.2028,-8.503357,5.497787,10,810,1000,1,0.1718044
f,20,0,12,327.7296,228.5474,0,10,810,1000,1,0.1796532
f,20,1,6,-370.6197,236.4072,0.7853982,10,810,1000,1,0.1796532
f,20,2,18,-261.7094,-139.8962,1.047198,10,810,1000,1,0.1796532
f,20,3,0,-14.16165,-216.786,1.308997,10,810,1000,1,0.1796532
f,20,4,16,363.5884,302.8258,1.570796,10,810,1000,1,0.1796532
f,20,5,2,-253.5109,-24.22354,1.832596,10,810,1000,1,0.1796532
f,20,6,10,150.7752,337.0541,2.094395,10,810,1000,1,0.1796532
f,20,7,19,231.1179,-167.324,2.356194,10,810,1000,1,0.1796532
f,20,8,4,-230.2323,-322.793,2.617994,10,810,1000,1,0.1796532
f,20,9,5,-62.64343,-316.4559,2.879793,10,810,1000,1,0.1796532
f,20,10,14,-370.7181,27.7019,3.141593,10,810,1000,1,0.1796532
f,20,11,13,-47.7782,250.5165,3.403392,10,810,1000,1,0.1796532
f,20,12,1,-111.482,187.2191,3.665191,10,810,1000,1,0.1796532
f,20,13,7,-138.829,269.5172,3.926991,10,810,1000,1,0.1796532
f,20,14,8,-270.2405,-340.2076,4.18879,10,810,1000,1,0.1796532
f,20,15,17,153.5358,-218.0549,4.45059,10,810,1000,1,0.1796532
f,20,16,15,391.3382,-202.2136,4.712389,10,810,1000,1,0.1796532
f,20,17,11,66.16119,-295.0936,4.974188,10,810,1000,1,0.1796532
f,20,18,3,295.9445,367.5779,5.235988,10,810,1000,1,0.1796532
f,20,19,9,-376.2028,-8.503357,5.497787,10,810,1000,1,0.1796532
f,20,0,12,327.7296,228.5474,0,10,810,1000,1,0.1873245
f,20,1,6,-370.6197,236.4072,0.7853982,10,810,1000,1,0.1873245
f,20,2,18,-261.7094,-139.8962,1.047198,10,810,1000,1,0.1873245
f,20,3,0,-14.16165,-216.786,1.308997,10,810,1000,1,0.1873245
f,20,4,16,363.5884,302.8258,1.570796,10,810,1000,1,0.1873245
f,20,5,2,-253.5109,-24.22354,1.832596,10,810,1000,1,0.1873245
f,20,6,10,150.7752,337.0541,2.094395,10,810,1000,1,0.1873245
f,20,7,19,231.1179,-167.324,2.356194,10,810,1000,1,0.1873245
f,20,8,4,-230.2323,-322.793,2.617994,10,810,1000,1,0.1873245
f,20,9,5,-62.64343,-316.4559,2.879793,10,810,1000,1,0.1873245
f,20,10,14,-370.7181,27.7019,3.141593,10,810,1000,1,0.1873245
f,20,11,13,-47.7782,250.5165,3.403392,10,810,1000,1,0.1873245
f,20,12,1,-111.482,187.2191,3.665191,10,810,1000,1,0.1873245
f,20,13,7,-138.829,269.5172,3.926991,10,810,1000,1,0.1873245
f,20,14,8,-270.2405,-340.2076,4.18879,10,810,1000,1,0.1873245
f,20,15,17,153.5358,-218.0549,4.45059,10,810,1000,1,0.1873245
f,20,16,15,391.3382,-202.2136,4.712389,10,810,1000,1,0.1873245
f,20,17,11,66.16119,-295.0936,4.974188,10,810,1000,1,0.1873245
f,20,18,3,295.9445,367.5779,5.235988,10,810,1000,1,0.1873245
f,20,19,9,-376.2028,-8.503357,5.497787,10,810,1000,1,0.1873245
f,20,0,12,327.7296,228.5474,0,10,810,1000,1,0.1952305
f,20,1,6,-370.6197,236.4072,0.7853982,10,810,1000,1,0.1952305
f,20,2,18,-261.7094,-139.8962,1.047198,10,810,1000,1,0.1952305
f,20,3,0,-14.16165,-216.786,1.308997,10,810,1000,1,0.1952305
f,20,4,16,363.5884,302.8258,1.570796,10,810,1000,1,0.1952305
f,20,5,2,-253.5109,-24.22354,1.832596,10,810,1000,1,0.1952305
f,20,6,10,150.7752,337.0541,2.094395,10,810,1000,1,0.1952305
f,20,7,19,231.1179,-167.324,2.356194,10,810,1000,1,0.1952305
f,20,8,4,-230.2323,-322.793,2.617994,10,810,1000,1,0.1952305
f,20,9,5,-62.64343,-316.4559,2.879793,10,810,1000,1,0.1952305
f,20,10,14,-370.7181,27.7019,3.141593,10,810,1000,1,0.1952305
f,20,11,13,-47.7782,250.5165,3.403392,10,810,1000,1,0.1952305
f,20,12,1,-111.482,187.2191,3.665191,10,810,1000,1,0.1952305
f,20,13,7,-138.829,269.5172,3.926991,10,810,1000,1,0.1952305
f,20,14,8,-270.2405,-340.2076,4.18879,10,810,1000,1,0.1952305
f,20,15,17,153.5358,-218.0549,4.45059,10,810,1000,1,0.1952305
f,20,16,15,391.3382,-202.2136,4.712389,10,810,1000,1,0.1952305
f,20,17,11,66.16119,-295.0936,4.974188,10,810,1000,1,0.1952305
f,20,18,3,295.9445,367.5779,5.235988,10,810,1000,1,0.1952305
f,20,19,9,-376.2028,-8.503357,5.497787,10,810,1000,1,0.1952305
f,20,0,12,327.7296,228.5474,0,10,810,1000,1,0.2043648
f,20,1,6,-370.6197,236.4072,0.7853982,10,810,1000,1,0.2043648
f,20,2,18,-261.7094,-139.8962,1.047198,10,810,1000,1,0.2043648
f,20,3,0,-14.16165,-216.786,1.308997,10,810,1000,1,0.2043648
f,20,4,16,363.5884,302.8258,1.570796,10,810,1000,1,0.2043648
f,20,5,2,-253.5109,-24.22354,1.832596,10,810,1000,1,0.2043648
f,20,6,10,150.7752,337.0541,2.094395,10,810,1000,1,0.2043648
f,20,7,19,231.1179,-167.324,2.356194,10,810,1000,1,0.2043648
f,20,8,4,-230.2323,-322.793,2.617994,10,810,1000,1,0.2043648
f,20,9,5,-62.64343,-316.4559,2.879793,10,810,1000,1,0.2043648
f,20,10,14,-370.7181,27.7019,3.141593,10,810,1000,1,0.2043648
f,20,11,13,-47.7782,250.5165,3.403392,10,810,1000,1,0.2043648
f,20,12,1,-111.482,187.2191,3.665191,10,810,1000,1,0.2043648
f,20,13,7,-138.829,269.5172,3.926991,10,810,1000,1,0.2043648
f,20,14,8,-270.2405,-340.2076,4.18879,10,810,1000,1,0.2043648
f,20,15,17,153.5358,-218.0549,4.45059,10,810,1000,1,0.2043648
f,20,16,15,391.3382,-202.2136,4.712389,10,810,1000,1,0.2043648
f,20,17,11,66.16119,-295.0936,4.974188,10,810,1000,1,0.2043648
f,20,18,3,295.9445,367.5779,5.235988,10,810,1000,1,0.2043648
f,20,19,9,-376.2028,-8.503357,5.497787,10,810,1000,1,0.2043648
f,20,0,12,327.7296,228.5474,0,10,810,1000,1,0.2115307
f,20,1,6,-370.6197,236.4072,0.7853982,10,810,1000,1,0.2115307
f,20,2,18,-261.7094,-139.8962,1.047198,10,810,1000,1,0.2115307
f,20,3,0,-14.16165,-216.786,1.308997,10,810,1000,1,0.2115307
f,20,4,16,363.5884,302.8258,1.570796,10,810,1000,1,0.2115307
f,20,5,2,-253.5109,-24.22354,1.832596,10,810,1000,1,0.2115307
f,20,6,10,150.7752,337.0541,2.094395,10,810,1000,1,0.2115307
f,20,7,19,231.1179,-167.324,2.356194,10,810,1000,1,0.2115307
f,20,8,4,-230.2323,-322.793,2.617994,10,810,1000,1,0.2115307
f,20,9,5,-62.64343,-316.4559,2.879793,10,810,1000,1,0.2115307
f,20,10,14,-370.7181,27.7019,3.141593,10,810,1000,1,0.2115307
f,20,11,13,-47.7782,250.5165,3.403392,10,810,1000,1,0.2115307
f,20,12,1,-111.482,187.2191,3.665191,10,810,1000,1,0.2115307
f,20,13,7,-138.829,269.5172,3.926991,10,810,1000,1,0.2115307
f,20,14,8,-270.2405,-340.2076,4.18879,10,810,1000,1,0.2115307
f,20,15,17,153.5358,-218.0549,4.45059,10,810,1000,1,0.2115307
f,20,16,15,391.3382,-202.2136,4.712389,10,810,1000,1,0.2115307
f,20,17,11,66.16119,-295.0936,4.974188,10,810,1000,1,0.2115307
f,20,18,3,295.9445,367.5779,5.235988,10,810,1000,1,0.2115307
f,20,19,9,-376.2028,-8.503357,5.497787,10,810,1000,1,0.2115307
f,20,0,12,327.7296,228.5474,0,10,810,1000,1,0.215292
f,20,1,6,-370.6197,236.4072,0.7853982,10,810,1000,1,0.215292
f,20,2,18,-261.7094,-139.8962,1.047198,10,810,1000,1,0.215292
f,20,3,0,-14.16165,-216.786,1.308997,10,810,1000,1,0.215292
f,20,4,16,363.5884,302.8258,1.570796,10,810,1000,1,0.215292
f,20,5,2,-253.5109,-24.22354,1.832596,10,810,1000,1,0.215292
f,20,6,10,150.7752,337.0541,2.094395,10,810,1000,1,0.215292
f,20,7,19,231.1179,-167.324,2.356194,10,810,1000,1,0.215292
f,20,8,4,-230.2323,-322.793,2.617994,10,810,1000,1,0.215292
f,20,9,5,-62.64343,-316.4559,2.879793,10,810,1000,1,0.215292
f,20,10,14,-370.7181,27.7019,3.141593,10,810,1000,1,0.215292
f,20,11,13,-47.7782,250.5165,3.403392,10,810,1000,1,0.215292
f,20,12,1,-111.482,187.2191,3.665191,10,810,1000,1,0.215292
f,20,13,7,-138.829,269.5172,3.926991,10,810,1000,1,0.215292
f,20,14,8,-270.2405,-340.2076,4.18879,10,810,1000,1,0.215292
f,20,15,17,153.5358,-218.0549,4.45059,10,810,1000,1,0.215292
f,20,16,15,391.3382,-202.2136,4.712389,10,810,1000,1,0.215292
f,20,17,11,66.16119,-295.0936,4.974188,10,810,1000,1,0.215292
f,20,18,3,295.9445,367.5779,5.235988,10,810,1000,1,0.215292
f,20,19,9,-376.2028,-8.503357,5.497787,10,810,1000,1,0.215292
f,20,0,12,327.7296,228.5474,0,10,810,1000,1,0.2238998
f,20,1,6,-370.6197,236.4072,0.7853982,10,810,1000,1,0.2238998
f,20,2,18,-261.7094,-139.8962,1.047198,10,810,1000,1,0.2238998
f,20,3,0,-14.16165,-216.786,1.308997,10,810,1000,1,0.2238998
f,20,4,16,363.5884,302.8258,1.570796,10,810,1000,1,0.2238998
f,20,5,2,-253.5109,-24.22354,1.832596,10,810,1000,1,0.2238998
f,20,6,10,150.7752,337.0541,2.094395,10,810,1000,1,0.2238998
f,20,7,19,231.1179,-167.324,2.356194,10,810,1000,1,0.2238998
f,20,8,4,-230.2323,-322.793,2.617994,10,810,1000,1,0.2238998
f,20,9,5,-62.64343,-316.4559,2.879793,10,810,1000,1,0.2238998
f,20,10,14,-370.7181,27.7019,3.141593,10,810,1000,1,0.2238998
f,20,11,13,-47.7782,250.5165,3.403392,10,810,1000,1,0.2238998
f,20,12,1,-111.482,187.2191,3.665191,10,810,1000,1,0.2238998
f,20,13,7,-138.829,269.5172,3.926991,10,810,1000,1,0.2238998
f,20,14,8,-270.2405,-340.2076,4.18879,10,810,1000,1,0.2238998
f,20,15,17,153.5358,-218.0549,4.45059,10,810,1000,1,0.2238998
f,20,16,15,391.3382,-202.2136,4.712389,10,810,1000,1,0.2238998
f,20,17,11,66.16119,-295.0936,4.974188,10,810,1000,1,0.2238998
f,20,18,3,295.9445,367.5779,5.235988,10,810,1000,1,0.2238998
f,20,19,9,-376.2028,-8.503357,5.497787,10,810,1000,1,0.2238998
f,20,0,12,327.7296,228.5474,0,10,810,1000,1,0.2314777
f,20,1,6,-370.6197,236.4072,0.7853982,10,810,1000,1,0.2314777
f,20,2,18,-261.7094,-139.8962,1.047198,10,810,1000,1,0.2314777
f,20,3,0,-14.16165,-216.786,1.308997,10,810,1000,1,0.2314777
f,20,4,16,363.5884,302.8258,1.570796,10,810,1000,1,0.2314777
f,20,5,2,-253.5109,-24.22354,1.832596,10,810,1000,1,0.2314777
f,20,6,10,150.7752,337.0541,2.094395,10,810,1000,1,0.2314777
f,20,7,19,231.1179,-167.324,2.356194,10,810,1000,1,0.2314777
f,20,8,4,-230.2323,-322.793,2.617994,10,810,1000,1,0.2314777
f,20,9,5,-62.64343,-316.4559,2.879793,10,810,1000,1,0.2314777
f,20,10,14,-370.7181,27.7019,3.141593,10,810,1000,1,0.2314777
f,20,11,13,-47.7782,250.5165,3.403392,10,810,1000,1,0.2314777
f,20,12,1,-111.482,187.2191,3.665191,10,810,1000,1,0.2314777
f,20,13,7,-138.829,269.5172,3.926991,10,810,1000,1,0.2314777
f,20,14,8,-270.2405,-340.2076,4.18879,10,810,1000,1,0.2314777
f,20,15,17,153.5358,-218.0549,4.45059,10,810,1000,1,0.2314777
f,20,16,15,391.3382,-202.2136,4.712389,10,810,1000,1,0.2314777
f,20,17,11,66.16119,-295.0936,4.974188,10,810,1000,1,0.2314777
f,20,18,3,295.9445,367.5779,5.235988,10,810,1000,1,0.2314777
f,20,19,9,-376.2028,-8.503357,5.497787,10,810,1000,1,0.2314777
f,20,0,12,327.7296,228.5474,0,10,810,1000,1,0.2396069
f,20,1,6,-370.6197,236.4072,0.7853982,10,810,1000,1,0.2396069
f,20,2,18,-261.7094,-139.8962,1.047198,10,810,1000,1,0.2396069
f,20,3,0,-14.16165,-216.786,1.308997,10,810,1000,1,0.2396069
f,20,4,16,363.5884,302.8258,1.570796,10,810,1000,1,0.2396069
f,20,5,2,-253.5109,-24.22354,1.832596,10,810,1000,1,0.2396069
f,20,6,10,150.7752,337.0541,2.094395,10,810,1000,1,0.2396069
f,20,7,19,231.1179,-167.324,2.356194,10,810,1000,1,0.2396069
f,20,8,4,-230.2323,-322.793,2.617994,10,810,1000,1,0.2396069
f,20,9,5,-62.64343,-316.4559,2.879793,10,810,1000,1,0.2396069
f,20,10,14,-370.7181,27.7019,3.141593,10,810,1000,1,0.2396069
f,20,11,13,-47.7782,250.5165,3.403392,10,810,1000,1,0.2396069
f,20,12,1,-111.482,187.2191,3.665191,10,810,1000,1,0.2396069
f,20,13,7,-138.829,269.5172,3.926991,10,810,1000,1,0.2396069
f,20,14,8,-270.2405,-340.2076,4.18879,10,810,1000,1,0.2396069
f,20,15,17,153.5358,-218.0549,4.45059,10,810,1000,1,0.2396069
f,20,16,15,391.3382,-202.2136,4.712389,10,810,1000,1,0.2396069
f,20,17,11,66.16119,-295.0936,4.974188,10,810,1000,1,0.2396069
f,20,18,3,295.9445,367.5779,5.235988,10,810,1000,1,0.2396069
f,20,19,9,-376.2028,-8.503357,5.497787,10,810,1000,1,0.2396069
f,20,0,12,327.7296,228.5474,0,10,810,1000,1,0.2474613
f,20,1,6,-370.6197,236.4072,0.7853982,10,810,1000,1,0.2474613
f,20,2,18,-261.7094,-139.8962,1.047198,10,810,1000,1,0.2474613
f,20,3,0,-14.16165,-216.786,1.308997,10,810,1000,1,0.2474613
f,20,4,16,363.5884,302.8258,1.570796,10,810,1000,1,0.2474613
f,20,5,2,-253.5109,-24.22354,1.832596,10,810,1000,1,0.2474613
f,20,6,10,150.7752,337.0541,2.094395,10,810,1000,1,0.2474613
f,20,7,19,231.1179,-167.324,2.356194,10,810,1000,1,0.2474613
f,20,8,4,-230.2323,-322.793,2.617994,10,810,1000,1,0.2474613
f,20,9,5,-62.64343,-316.4559,2.879793,10,810,1000,1,0.2474613
f,20,10,14,-370.7181,27.7019,3.141593,10,810,1000,1,0.2474613
f,20,11,13,-47.7782,250.5165,3.403392,10,810,1000,1,0.2474613
f,20,12,1,-111.482,187.2191,3.665191,10,810,1000,1,0.2474613
f,20,13,7,-138.829,269.5172,3.926991,10,810,1000,1,0.2474613
f,20,14,8,-270.2405,-340.2076,4.18879,10,810,1000,1,0.2474613
f,20,15,17,153.5358,-218.0549,4.45059,10,810,1000,1,0.2474613
f,20,16,15,391.3382,-202.2136,4.712389,10,810,1000,1,0.2474613
f,20,17,11,66.16119,-295.0936,4.974188,10,810,1000,1,0.2474613
f,20,18,3,295.9445,367.5779,5.235988,10,810,1000,1,0.2474613
f,20,19,9,-376.2028,-8.503357,5.497787,10,810,1000,1,0.2474613
f,20,0,12,327.7296,228.5474,0,10,810,1000,1,0.2552528
f,20,1,6,-370.6197,236.4072,0.7853982,10,810,1000,1,0.2552528
f,20,2,18,-261.7094,-139.8962,1.047198,10,810,1000,1,0.2552528
f,20,3,0,-14.16165,-216.786,1.308997,10,810,1000,1,0.2552528
f,20,4,16,363.5884,302.8258,1.570796,10,810,1000,1,0.2552528
f,20,5,2,-253.5109,-24.22354,1.832596,10,810,1000,1,0.2552528
f,20,6,10,150.7752,337.0541,2.094395,10,810,1000,1,0.2552528
f,20,7,19,231.1179,-167.324,2.356194,10,810,1000,1,0.2552528
f,20,8,4,-230.2323,-322.793,2.617994,10,810,1000,1,0.2552528
f,20,9,5,-62.64343,-316.4559,2.879793,10,810,1000,1,0.2552528
f,20,10,14,-370.7181,27.7019,3.141593,10,810,1000,1,0.2552528
f,20,11,13,-47.7782,250.5165,3.403392,10,810,1000,1,0.2552528
f,20,12,1,-111.482,187.2191,3.665191,10,810,1000,1,0.2552528
f,20,13,7,-138.829,269.5172,3.926991,10,810,1000,1,0.2552528
f,20,14,8,-270.2405,-340.2076,4.18879,10,810,1000,1,0.2552528
f,20,15,17,153.5358,-218.0549,4.45059,10,810,1000,1,0.2552528
f,20,16,15,391.3382,-202.2136,4.712389,10,810,1000,1,0.2552528
f,20,17,11,66.16119,-295.0936,4.974188,10,810,1000,1,0.2552528
f,20,18,3,295.9445,367.5779,5.235988,10,810,1000,1,0.2552528
f,20,19,9,-376.2028,-8.503357,5.497787,10,810,1000,1,0.2552528
f,20,0,12,327.7296,228.5474,0,10,810,1000,1,0.2641735
f,20,1,6,-370.6197,236.4072,0.7853982,10,810,1000,1,0.2641735
f,20,2,18,-261.7094,-139.8962,1.047198,10,810,1000,1,0.2641735
f,20,3,0,-14.16165,-216.786,1.308997,10,810,1000,1,0.2641735
f,20,4,16,363.5884,302.8258,1.570796,10,810,1000,1,0.2641735
f,20,5,2,-253.5109,-24.22354,1.832596,10,810,1000,1,0.2641735
f,20,6,10,150.7752,337.0541,2.094395,10,810,1000,1,0.2641735
f,20,7,19,231.1179,-167.324,2.356194,10,810,1000,1,0.2641735
f,20,8,4,-230.2323,-322.793,2.617994,10,810,1000,1,0.2641735
f,20,9,5,-62.64343,-316.4559,2.879793,10,810,1000,1,0.2641735
f,20,10,14,-370.7181,27.7019,3.141593,10,810,1000,1,0.2641735
f,20,11,13,-47.7782,250.5165,3.403392,10,810,1000,1,0.2641735
f,20,12,1,-111.482,187.2191,3.665191,10,810,1000,1,0.2641735
f,20,13,7,-138.829,269.5172,3.926991,10,810,1000,1,0.2641735
f,20,14,8,-270.2405,-340.2076,4.18879,10,810,1000,1,0.2641735
f,20,15,17,153.5358,-218.0549,4.45059,10,810,1000,1,0.2641735
f,20,16,15,391.3382,-202.2136,4.712389,10,810,1000,1,0.2641735
f,20,17,11,66.16119,-295.0936,4.974188,10,810,1000,1,0.2641735
f,20,18,3,295.9445,367.5779,5.235988,10,810,1000,1,0.2641735
f,20,19,9,-376.2028,-8.503357,5.497787,10,810,1000,1,0.2641735
f,20,0,12,327.7296,228.5474,0,10,810,1000,1,0.2759361
f,20,1,6,-370.6197,236.4072,0.7853982,10,810,1000,1,0.2759361
f,20,2,18,-261.7094,-139.8962,1.047198,10,810,1000,1,0.2759361
f,20,3,0,-14.16165,-216.786,1.308997,10,810,1000,1,0.2759361
f,20,4,16,363.5884,302.8258,1.570796,10,810,1000,1,0.2759361
f,20,5,2,-253.5109,-24.22354,1.832596,10,810,1000,1,0.2759361
f,20,6,10,150.7752,337.0541,2.094395,10,810,1000,1,0.2759361
f,20,7,19,231.1179,-167.324,2.356194,10,810,1000,1,0.2759361
f,20,8,4,-230.2323,-322.793,2.617994,10,810,1000,1,0.2759361
f,20,9,5,-62.64343,-316.4559,2.879793,10,810,1000,1,0.2759361
f,20,10,14,-370.7181,27.7019,3.141593,10,810,1000,1,0.2759361
f,20,11,13,-47.7782,250.5165,3.403392,10,810,1000,1,0.2759361
f,20,12,1,-111.482,187.2191,3.665191,10,810,1000,1,0.2759361
f,20,13,7,-138.829,269.5172,3.926991,10,810,1000,1,0.2759361
f,20,14,8,-270.2405,-340.2076,4.18879,10,810,1000,1,0.2759361
f,20,15,17,153.5358,-218.0549,4.45059,10,810,1000,1,0.2759361
f,20,16,15,391.3382,-202.2136,4.712389,10,810,1000,1,0.2759361
f,20,17,11,66.16119,-295.0936,4.974188,10,810,1000,1,0.2759361
f,20,18,3,295.9445,367.5779,5.235988,10,810,1000,1,0.2759361
f,20,19,9,-376.2028,-8.503357,5.497787,10,810,1000,1,0.2759361
f,20,0,12,327.7296,228.5474,0,10,810,1000,1,0.2792664
f,20,1,6,-370.6197,236.4072,0.7853982,10,810,1000,1,0.2792664
f,20,2,18,-261.7094,-139.8962,1.047198,10,810,1000,1,0.2792664
f,20,3,0,-14.16165,-216.786,1.308997,10,810,1000,1,0.2792664
f,20,4,16,363.5884,302.8258,1.570796,10,810,1000,1,0.2792664
f,20,5,2,-253.5109,-24.22354,1.832596,10,810,1000,1,0.2792664
f,20,6,10,150.7752,337.0541,2.094395,10,810,1000,1,0.2792664
f,20,7,19,231.1179,-167.324,2.356194,10,810,1000,1,0.2792664
f,20,8,4,-230.2323,-322.793,2.617994,10,810,1000,1,0.2792664
f,20,9,5,-62.64343,-316.4559,2.879793,10,810,1000,1,0.2792664
f,20,10,14,-370.7181,27.7019,3.141593,10,810,1000,1,0.2792664
f,20,11,13,-47.7782,250.5165,3.403392,10,810,1000,1,0.2792664
f,20,12,1,-111.482,187.2191,3.665191,10,810,1000,1,0.2792664
f,20,13,7,-138.829,269.5172,3.926991,10,810,1000,1,0.2792664
f,20,14,8,-270.2405,-340.2076,4.18879,10,810,1000,1,0.2792664
f,20,15,17,153.5358,-218.0549,4.45059,10,810,1000,1,0.2792664
f,20,16,15,391.3382,-202.2136,4.712389,10,810,1000,1,0.2792664
f,20,17,11,66.16119,-295.0936,4.974188,10,810,1000,1,0.2792664
f,20,18,3,295.9445,367.5779,5.235988,10,810,1000,1,0.2792664
f,20,19,9,-376.2028,-8.503357,5.497787,10,810,1000,1,0.2792664
f,20,0,12,327.7296,228.5474,0,10,810,1000,1,0.2832298
f,20,1,6,-370.6197,236.4072,0.7853982,10,810,1000,1,0.2832298
f,20,2,18,-261.7094,-139.8962,1.047198,10,810,1000,1,0.2832298
f,20,3,0,-14.16165,-216.786,1.308997,10,810,1000,1,0.2832298
f,20,4,16,363.5884,302.8258,1.570796,10,810,1000,1,0.2832298
f,20,5,2,-253.5109,-24.22354,1.832596,10,810,1000,1,0.2832298
